case-name,rock_type,porosity,esv,kx,ky,kz,delta_esv
5001,2.0,0.19691763,0.8042579990000001,0.8358,0.9422,0.7159,0.0014638959139397013
5002,2.0,0.21468770399999998,0.785426816,0.6932,0.7091,0.7318,0.000145827335931457
5003,2.0,0.20905837,0.7914426290000001,0.7323,0.7571,0.8390000000000001,0.000633420951682619
5005,2.0,0.221996444,0.778642933,0.6353,0.8016,0.7024,0.0008218175804840936
5006,2.0,0.21709629600000002,0.783216652,0.7113,0.7086,0.6688,0.00039972732074343984
5007,2.0,0.21746222199999998,0.783034151,0.72,0.7495,0.7182,0.000634311868327383
5008,2.0,0.193647111,0.80793153,0.7509999999999999,0.7853,0.7999,0.0019577545036859613
5009,2.0,0.251751111,0.747998455,0.5664,0.6672,0.7782,0.00033469344716931693
5011,2.0,0.238017778,0.762173065,0.613,0.873,0.7285,0.00025045597454903827
5012,2.0,0.197067556,0.802683789,0.7592,0.752,0.6890000000000001,0.00030968358777632235
5013,2.0,0.206434667,0.793524035,0.7205,0.7086,0.6971,5.20410838057204e-05
5014,2.0,0.257880889,0.741547104,0.6167,0.6073,0.6174,0.0007707751916390696
5015,2.0,0.253687111,0.7454232890000001,0.6486,0.5696,0.6581,0.001191993349052054
5016,2.0,0.259528889,0.740665949,0.6339,0.5043,0.3818,0.00026312707829608494
5017,2.0,0.231332741,0.768250458,0.7495,0.6684,0.6539,0.0005422385240425164
5018,2.0,0.20766874100000002,0.7920774629999999,0.7318,0.6997,0.745,0.00032031552096076503
5019,2.0,0.197895407,0.8032503259999999,0.7982,0.9414,0.7633,0.0014284084768978141
5020,2.0,0.187739556,0.81275045,0.6881,0.7793,0.8187,0.0006032621723975553
5021,2.0,0.20058844399999998,0.799704434,0.7425,0.7525,0.742,0.0003663669830662248
5022,2.0,0.185204741,0.8147064559999999,0.7556,0.8737,0.7233,0.00010898811574962438
5023,2.0,0.261727111,0.7379497079999999,0.5041,0.741,0.6937,0.000437752767053134
5024,2.0,0.274843556,0.724534212,0.5502,0.7247,0.6856,0.0008580658768854578
5025,2.0,0.24712414800000002,0.7527020520000001,0.5963,0.6609,0.7015,0.0002308481531692037
5026,2.0,0.244276148,0.7560117,0.5894,0.7718,0.5932,0.0003808904525616639
5027,2.0,0.272834074,0.726050201,0.5281,0.6471,0.5508,0.0015343471965710929
5028,2.0,0.265239111,0.733889903,0.6839,0.6054,0.6452,0.0011854006018002779
5029,2.0,0.230022815,0.770094501,0.7006,0.7782,0.6759999999999999,0.000152362956053014
5030,2.0,0.191511407,0.808914572,0.7886,0.7798,0.7168,0.0005268831294445688
5031,2.0,0.20187437,0.797384545,0.7019,0.698,0.6233,0.0009285317651057393
5032,2.0,0.24631999999999998,0.7532517940000001,0.6005,0.7073,0.6198,0.0005681535930367411
5033,2.0,0.265509333,0.732810572,0.6005,0.6073,0.6198,0.0022874286570070093
5034,2.0,0.250672593,0.748709425,0.6137,0.6282,0.721,0.0008247155972502169
5035,2.0,0.24511999999999998,0.75499507,0.6696,0.7068,0.6524,0.0001524348240779924
5036,2.0,0.198384,0.801399565,0.6839,0.7515,0.7046,0.0002699983533262994
5037,2.0,0.20280029600000002,0.797736111,0.6928,0.8466,0.7159,0.0006728640230403505
5038,2.0,0.172161185,0.828542936,0.6864,0.9049,0.8145,0.0008505532565538697
5039,2.0,0.17670637,0.8235818229999999,0.7396,0.742,0.7744,0.0003500488640971711
5040,2.0,0.169222815,0.8310240529999999,0.8511,0.871,0.7654,0.0002971530808226946
5041,2.0,0.299355556,0.699411786,0.4347,0.6609,0.5391,0.001759320309403527
5042,2.0,0.318254815,0.6802525490000001,0.43700000000000006,0.674,0.5294,0.002189433871835759
5043,2.0,0.274172148,0.7245991509999999,0.5473,0.6117,0.5582,0.0016928270203663308
5044,2.0,0.282381333,0.717274483,0.5373,0.8193,0.5279,0.00047961963063040714
5045,2.0,0.285157926,0.7139525179999999,0.606,0.7095,0.5888,0.0012444091252525645
5046,2.0,0.276247407,0.723010385,0.7313,0.565,0.7323,0.001025499607432717
5047,2.0,0.237419852,0.7633923509999999,0.7675,0.8045,0.8883,0.0010650723102745192
5048,2.0,0.173212741,0.827940571,0.8092,0.8223,0.8976,0.0013949319942288883
5049,2.0,0.18067555600000001,0.8200583229999999,0.6954,0.7766,0.9328,0.000895712321747698
5050,2.0,0.209422222,0.791231017,0.6505,0.7415,0.8098,0.0008262804978562357
5051,2.0,0.23287763,0.767143136,0.6589,0.6422,0.8396,2.70699966680601e-05
5052,2.0,0.22446874100000003,0.775428454,0.7082,0.6415,0.7546,0.0001325607431123909
5053,2.0,0.225187556,0.775247072,0.6932,0.7875,0.7136,0.0005609460758738769
5054,2.0,0.20582844399999997,0.793463574,0.6558,0.8518,0.672,0.0008914723709898216
5055,2.0,0.203401185,0.7957498740000001,0.6562,0.7734,0.6535,0.0010657070836841264
5057,2.0,0.178323852,0.82229424,0.7597,0.7525,0.8396,0.0007522331048606258
5059,2.0,0.260606519,0.739329102,0.5178,0.6756,0.7024,8.707001299623751e-05
5060,2.0,0.28408,0.71647842,0.5321,0.6605,0.8531,0.0007800033523297972
5061,2.0,0.269350815,0.730246603,0.4804,0.569,0.7597,0.000550992197438754
5062,2.0,0.299463407,0.700070133,0.4323,0.6989,0.728,0.0006658610052081282
5064,2.0,0.25884977800000003,0.740988405,0.6724,0.5571,0.8409,0.00021833225599432262
5065,2.0,0.22602755600000002,0.7743681570000001,0.7592,0.7091,0.804,0.0005112753084011287
5066,2.0,0.198866667,0.801405163,0.8079999999999999,0.8772,0.7037,0.00033930681548607206
5067,2.0,0.194812741,0.804643155,0.7509999999999999,0.7357,0.6616,0.000675748397553735
5069,2.0,0.24444711100000002,0.7551977240000001,0.6404,0.6292,0.698,0.00047007298254123894
5070,2.0,0.23394755600000003,0.765225197,0.7173,0.5664,0.7068,0.0010798829851392264
5071,2.0,0.227338963,0.772867843,0.7073,0.8028,0.7091,0.00026765423658861657
5072,2.0,0.19889214800000002,0.801115177,0.7186,0.9407,0.7804,9.143587822432764e-06
5073,2.0,0.21662370399999997,0.782225773,0.6331,0.6890000000000001,0.775,0.0014686722152237165
5074,2.0,0.18536088899999997,0.815030032,0.7505,0.9108,0.8057,0.00047987015933985037
5075,2.0,0.184912889,0.8148139409999999,0.7702,0.6984,0.7328,0.00033514209256100576
5076,2.0,0.17724237,0.823212342,0.8827,0.8272,0.746,0.0005526682262430356
5077,2.0,0.236103407,0.763568134,0.597,0.6806,0.7881,0.0004299783544132172
5078,2.0,0.23496355600000002,0.7658163659999999,0.6512,0.7435,0.7561,0.0010194573162059565
5079,2.0,0.229419259,0.7703710509999999,0.5986,0.6593,0.7734,0.0002721194403691321
5080,2.0,0.244676148,0.754967079,0.5621,0.7628,0.7242,0.00047234441101685405
5081,2.0,0.238378667,0.761297509,0.5805,0.8841,0.7371,0.0004251771660917651
5082,2.0,0.232142519,0.766581078,0.6321,0.6668,0.7675,0.00166229154704308
5083,2.0,0.21500829600000002,0.784621797,0.6997,0.7782,0.7628,0.0004712240882483863
5084,2.0,0.19293570399999999,0.80688131,0.7391,0.8616,0.7122,0.00022673038679449538
5085,2.0,0.19521925899999998,0.8044942429999999,0.7959,0.7546,0.6868,0.0003559950995399564
5086,2.0,0.206545778,0.7936124859999999,0.7505,0.7787,0.6539,0.0001994620428144278
5087,2.0,0.225894519,0.773933738,0.7186,0.6448,0.6692,0.00022185994572489274
5089,2.0,0.250342519,0.749769721,0.6814,0.7994,0.7046,0.00014972171004036796
5091,2.0,0.22974163,0.7700933809999999,0.672,0.6554,0.8596,0.00021419955488449907
5092,2.0,0.20589925899999997,0.794163348,0.7256,0.8340000000000001,0.8133,7.884012288050087e-05
5094,2.0,0.205685333,0.7942887470000001,0.7214,0.792,0.7042,3.263190405106995e-05
5095,2.0,0.230278815,0.7691428090000001,0.6324,0.6827,0.7299,0.0007514097458547676
5096,2.0,0.237191111,0.76274632,0.6437,0.7826,0.6827,8.202447677561386e-05
5097,2.0,0.245394963,0.753802656,0.6008,0.6222,0.6712,0.0010633125418696007
5098,2.0,0.231269333,0.768511333,0.6205,0.7214,0.753,0.0002853196957212987
5099,2.0,0.204946667,0.795046742,0.5966,0.9182,0.8011,8.290009897990371e-06
5100,2.0,0.182248296,0.8171461459999999,0.6562,0.7659,0.8098,0.0007405157299434519
5101,2.0,0.163421926,0.8365517029999999,0.7238,0.7926,0.846,3.152246134534123e-05
5104,2.0,0.21357214800000002,0.78680509,0.7723,0.7186,0.6441,0.00047968545244249817
5105,2.0,0.265199407,0.734992746,0.6201,0.5989,0.6859999999999999,0.00026150359952141836
5106,2.0,0.265892444,0.734099275,0.5667,0.6508,0.6997,1.1280363391251296e-05
5107,2.0,0.299587259,0.700100363,0.5147,0.6877,0.6839,0.00044599131585480045
5108,2.0,0.26067348100000004,0.7385308,0.6164,0.7015,0.6752,0.0010762754744361774
5109,2.0,0.258162963,0.740576378,0.6261,0.591,0.6434,0.0016993745757129847
5110,2.0,0.225337481,0.7746021609999999,0.6008,0.8315,0.6789,7.791521923387276e-05
5113,2.0,0.220725333,0.779031447,0.6527,0.6976,0.741,0.00031211074900756197
5114,2.0,0.24345303699999998,0.755890779,0.6397,0.7376,0.7261,0.0008673407363873115
5115,2.0,0.248871111,0.7502590029999999,0.6712,0.6264,0.7214,0.001158104837584062
5117,2.0,0.172149926,0.8284768779999999,0.7440000000000001,0.8333,0.8778,0.0007571467584357857
5118,2.0,0.160176593,0.840555527,0.5494,0.8524,0.9258,0.000871754697353896
5119,2.0,0.144554074,0.8564700540000001,0.4115,0.7177,0.7665,0.0011971861328381247
5120,2.0,0.137260148,0.864285124,0.3545,0.9175,0.9717,0.0017911216184319562
5121,2.0,0.15446400000000002,0.846348531,0.5375,0.7982,0.8498,0.0009609655886916764
5123,2.0,0.283408296,0.7155647959999999,0.5811,0.5441,0.6133,0.0014330447788719579
5124,2.0,0.309785185,0.687926545,0.4697,0.569,0.5334,0.0033153011935857855
