case-name,rock_type,porosity,esv,kx,ky,kz,delta_esv
2879,1.0,0.163037333,0.8378572009999999,0.7744,0.8919,0.9258,0.001068786022686418
2880,1.0,0.164212444,0.8368730390000001,0.787,0.9159999999999999,0.8596,0.0012987546801906552
2882,1.0,0.183400593,0.817373433,0.894,0.8333,0.8377,0.0009478650037765497
2883,1.0,0.190865778,0.809893135,0.9159999999999999,0.7333,0.7744,0.000937932149408066
2884,1.0,0.19962488899999997,0.8010356829999999,0.8649,0.753,0.7665,0.0008253280129795476
2885,1.0,0.194286519,0.807229517,0.9167,0.8327,0.8121,0.0018816068438105903
2886,1.0,0.179328889,0.822500253,0.9422,0.9297,0.8241,0.002228836833029389
2887,1.0,0.16061925900000001,0.8409832279999999,0.9205,0.932,0.8139,0.0019091300547243253
2888,1.0,0.165485926,0.835409673,0.8377,0.7954,0.8127,0.0010731981974938204
2889,1.0,0.17543614800000001,0.825336295,0.8127,0.8799,0.7831,0.0009367897927206389
2890,1.0,0.16979466699999998,0.830343313,0.8649,0.7859,0.8151,0.00016619984781521754
2891,1.0,0.17676,0.823765443,0.8229,0.7875,0.8079999999999999,0.0006382622321558894
2892,1.0,0.18402370399999998,0.8158775970000001,0.8133,0.7136,0.8069,0.0001209581705789213
2893,1.0,0.17978666699999998,0.820724508,0.8315,0.7875,0.7826,0.0006232220075359039
2894,1.0,0.19125955600000002,0.80972295,0.8028,0.6389,0.7607,0.0012148594858699185
2895,1.0,0.18406488899999998,0.81664007,0.8181,0.7831,0.7777,0.00086398904826637
2896,1.0,0.199155556,0.800895728,0.8057,0.6724,0.747,6.403740499694943e-05
2897,1.0,0.20588770399999998,0.794781388,0.7875,0.8383,0.787,0.000842565973817867
2898,1.0,0.22389363,0.775838241,0.7271,0.6459999999999999,0.7702,0.0003454797053140414
2899,1.0,0.170349926,0.8299256890000001,0.7999,0.9093,0.7994,0.00033220632244536184
2900,1.0,0.156729185,0.84320235,0.7782,0.8340000000000001,0.7804,8.118981326303524e-05
2901,1.0,0.16017363,0.8396463809999999,0.7633,0.75,0.7535,0.00021431691886508283
2902,1.0,0.17129303699999998,0.8291072340000001,0.7665,0.8524,0.7381,0.00048300668133768664
2903,1.0,0.17785570399999998,0.822648045,0.7718,0.8315,0.7002,0.0006127257738706519
2905,1.0,0.186876741,0.813310268,0.9258,0.8139,0.6852,0.00022998850165718328
2906,1.0,0.19965274100000002,0.800534085,0.919,0.7205,0.6839,0.00023343117365505126
2907,1.0,0.21533925899999998,0.7845333459999999,0.8428,0.7475,0.6732,0.00016235679108627806
2908,1.0,0.211799407,0.788466632,0.8492,0.7898,0.6911,0.000337527023403287
2909,1.0,0.198737185,0.801729858,0.8643,0.8492,0.7168,0.0005828836572180133
2910,1.0,0.184187556,0.81645421,0.8434,0.8187,0.7853,0.000786658753148399
2912,1.0,0.189729481,0.811176239,0.7607,0.9034,0.7965,0.0011177995234453281
2913,1.0,0.177266963,0.823347818,0.8272,0.8169,0.8235,0.0007472423889062919
2914,1.0,0.18251614800000002,0.81852554,0.8151,0.8127,0.8371,0.0012742612559887491
2915,1.0,0.192571259,0.807532939,0.7959,0.7059,0.8098,0.00012904915902658495
2916,1.0,0.19178963,0.8085686040000001,0.8127,0.7299,0.7728,0.0004432435084939739
2917,1.0,0.202549333,0.7986116670000001,0.7948,0.6339,0.7665,0.0014558894337222726
2918,1.0,0.19456355600000003,0.8062890220000001,0.8109999999999999,0.7931,0.753,0.0010585292065579284
2919,1.0,0.202558815,0.797576003,0.7881,0.7059,0.743,0.00016906325198130505
2920,1.0,0.199283259,0.801522725,0.7909,0.9137,0.7576,0.0010065781801856717
2921,1.0,0.20729363,0.7931612720000001,0.7837,0.7042,0.7903,0.0005738593976481989
2922,1.0,0.175686815,0.824225614,0.8098,0.8663,0.8045,0.00010623510771577491
2923,1.0,0.168330667,0.8316420929999999,0.7926,0.8175,0.7782,3.275340200634158e-05
2924,1.0,0.167509333,0.8323709770000001,0.7831,0.7309,0.804,0.0001437733835878482
2925,1.0,0.181667556,0.8186408620000001,0.768,0.8022,0.767,0.0003768859493002621
2926,1.0,0.197554963,0.802669234,0.7607,0.7415,0.7011,0.0002793923442260402
2927,1.0,0.20903525899999997,0.791244453,0.8247,0.7691,0.6814,0.00035363396811639614
2928,1.0,0.20012444399999998,0.800328072,0.8792,0.8092,0.7104,0.000565733002597167
2929,1.0,0.21791940699999998,0.781609972,0.8440000000000001,0.6847,0.6915,0.0006017551186057226
2930,1.0,0.24442251899999998,0.755019702,0.7592,0.6928,0.5973,0.0007382154895111022
2931,1.0,0.244183407,0.755371268,0.752,0.7275,0.6067,0.0005891971731296086
2932,1.0,0.22311970399999997,0.7764574000000001,0.8086,0.7937,0.6558,0.0005443515586344668
2933,1.0,0.21178992600000002,0.787999743,0.8057,0.7294,0.6543,0.000266846373749859
2935,1.0,0.21233037,0.788094913,0.7787,0.9078,0.7091,0.0005399256030729514
2936,1.0,0.191267259,0.809233668,0.8531,0.8531,0.7686,0.0006193974530826233
2937,1.0,0.18959970399999998,0.8111851959999999,0.8696,0.7881,0.7809,0.0009685337034969027
2938,1.0,0.207048593,0.792865688,0.7982,0.6459999999999999,0.7587,0.00010810120171712377
2939,1.0,0.21753066699999998,0.78297481,0.7691,0.7285,0.7238,0.0006460023143169395
2940,1.0,0.222888593,0.77750762,0.7875,0.6174,0.7154,0.0005098535376407402
2941,1.0,0.213007704,0.7873581909999999,0.8051,0.7535,0.7440000000000001,0.00046492831233502886
2942,1.0,0.21757007399999997,0.7822571229999999,0.7707,0.6609,0.741,0.000220854282611003
2943,1.0,0.213538074,0.786783817,0.7665,0.8472,0.7154,0.00040928999784792963
2944,1.0,0.213465778,0.786993189,0.8045,0.7702,0.7623,0.0005835308714641438
2945,1.0,0.16957540699999998,0.830047729,0.846,0.8724,0.7712,0.0004538208564351035
2946,1.0,0.16923348100000002,0.8305202159999999,0.8241,0.8045,0.7607,0.00029647680108309564
2947,1.0,0.164042667,0.8356291220000001,0.7988,0.7475,0.7445,0.00039261692797413583
2948,1.0,0.18034311100000003,0.8196037509999999,0.768,0.8011,0.7219,6.482956553307714e-05
2949,1.0,0.20805214800000002,0.791860253,0.7381,0.7256,0.6984,0.00011061208105908692
2952,1.0,0.224137778,0.7759524440000001,0.7804,0.6612,0.7347,0.00011628611039665259
2953,1.0,0.254928593,0.74455445,0.7256,0.6624,0.6748,0.0006938355104532747
2954,1.0,0.25759792600000003,0.7420106340000001,0.7219,0.64,0.6868,0.00052726145805433
2955,1.0,0.22435525899999997,0.775412779,0.7881,0.8045,0.7525,0.0002990570137830335
2956,1.0,0.21910222199999999,0.780792637,0.7842,0.7256,0.715,0.0001346411821907256
2959,1.0,0.18447525899999997,0.8159548520000001,0.8302,0.867,0.8396,0.0005274039871219685
2960,1.0,0.17766014800000002,0.8229951329999999,0.8696,0.7842,0.8498,0.0007968493785217849
2961,1.0,0.197222222,0.8025281590000001,0.7954,0.6543,0.8057,0.0003109440829588817
2963,1.0,0.20966222199999998,0.7906029,0.7999,0.4823,0.7638,0.0003354540392474457
2964,1.0,0.207837926,0.792788433,0.8034,0.7612,0.748,0.000790695516180539
2965,1.0,0.221580148,0.778022654,0.746,0.6856,0.6890000000000001,0.0005102619094045561
2966,1.0,0.222556741,0.777429246,0.7261,0.8016,0.6679999999999999,1.8024466528990656e-05
2968,1.0,0.15864888900000002,0.841105269,0.8524,0.873,0.8663,0.00029219905552605385
2969,1.0,0.158346074,0.841665088,0.8472,0.8163,0.8590000000000001,1.3261982930444368e-05
2970,1.0,0.16033540699999999,0.839626228,0.8104,0.7546,0.8352,4.5690863137282084e-05
2971,1.0,0.17435822199999998,0.825699057,0.7734,0.8069,0.8104,6.937512311781982e-05
2973,1.0,0.18953807399999997,0.8109399959999999,0.8472,0.8792,0.8211,0.000589873484075162
2974,1.0,0.18184088899999998,0.8187181170000001,0.8590000000000001,0.8371,0.8086,0.0006832485179035408
2975,1.0,0.203568,0.796549295,0.7842,0.7159,0.752,0.00014727559917233015
2976,1.0,0.229487407,0.770212063,0.7659,0.748,0.67,0.0003900390502767105
2977,1.0,0.236246519,0.7632523959999999,0.7318,0.7406,0.6539,0.0006560821161088917
2979,1.0,0.218196148,0.781530478,0.754,0.7182,0.6459999999999999,0.00034967082766439015
2982,1.0,0.184550815,0.8161037640000001,0.8440000000000001,0.8696,0.7948,0.0008027219991643005
2983,1.0,0.175188444,0.825602768,0.9289,0.7971,0.7826,0.0009592639606518627
2986,1.0,0.190927111,0.808502545,0.8696,0.8806,0.7275,0.0007049352508955475
2987,1.0,0.196729185,0.803904194,0.8544,0.7535,0.6963,0.0007884999531571989
2988,1.0,0.21219111100000002,0.787192485,0.7892,0.6781,0.662,0.000782428338403731
2989,1.0,0.21688029600000003,0.782972571,0.7285,0.7734,0.6759999999999999,0.00018788060017963933
2990,1.0,0.23128029600000002,0.7683030809999999,0.7118,0.6890000000000001,0.6601,0.0005419699766146698
2991,1.0,0.142698667,0.857150794,0.8799,0.8926,0.7988,0.0001755963675842664
2992,1.0,0.146182519,0.853834428,0.8590000000000001,0.8321,0.7723,1.9848504366695426e-05
2993,1.0,0.15410222199999998,0.845696902,0.8005,0.7654,0.7490000000000001,0.00023747077392129168
2994,1.0,0.165882963,0.833687671,0.7644,0.7837,0.7182,0.0005147551014474562
2995,1.0,0.182776,0.816710607,0.7654,0.7628,0.6958,0.0006282157645883786
2996,1.0,0.18206103699999998,0.818453883,0.8333,0.8696,0.7028,0.0006295335266966299
2998,1.0,0.209193185,0.790924236,0.7371,0.695,0.7196,0.00014848253425825042
2999,1.0,0.22881392600000003,0.7711368829999999,0.7091,0.7505,0.6765,6.37861621967048e-05
3000,1.0,0.245326519,0.754229237,0.6397,0.6652,0.6527,0.0005886572288340188
3001,1.0,0.23379111100000002,0.765819725,0.6868,0.6924,0.674,0.0005079084902132967
3002,1.0,0.24245629600000002,0.75755792,0.6648,0.7252,0.643,1.8765913999421007e-05
3005,1.0,0.193681778,0.8066047590000001,0.8169,0.8327,0.7994,0.000355364658991957
3006,1.0,0.184728593,0.8160656959999999,0.8676,0.8321,0.7566,0.000974263286041985
3007,1.0,0.18927525899999997,0.8108526640000001,0.8954,0.7247,0.7787,0.0001577884496805868
3008,1.0,0.186891852,0.81382978,0.8696,0.8724,0.747,0.0008874981781635918
3009,1.0,0.189970074,0.810620899,0.899,0.8163,0.7228,0.000729569341861568
3010,1.0,0.19202311100000002,0.8085921159999999,0.9274,0.7831,0.7546,0.0007614413337507485
3011,1.0,0.19237422199999998,0.808002067,0.8751,0.7485,0.7926,0.0004659199969221068
3014,1.0,0.134500148,0.865788797,0.9034,0.8524,0.9137,0.0003338475440894528
3016,1.0,0.15011407400000001,0.85058412,0.8333,0.7815,0.8799,0.0008215149570555906
3017,1.0,0.16106577800000002,0.839480675,0.7994,0.7926,0.8434,0.0006513657276934905
3018,1.0,0.180290667,0.819898215,0.7853,0.7186,0.8063,0.00023042558184463335
3019,1.0,0.178625481,0.822272966,0.8205,0.8272,0.7490000000000001,0.0010938335426984055
3020,1.0,0.186519407,0.8144993229999999,0.7853,0.8340000000000001,0.8199,0.0012523101457688588
3027,1.0,0.20416800000000002,0.7961977290000001,0.7994,0.8524,0.7037,0.00045955553433399556
